Antibiotic,Feature,Clinical_Effect,Odds_Ratio,SHAP_Value,pident,length,evalue,bitscore,stitle
Imipenem,Spacer_Cluster_268,Predictor Relevante (SHAP),,0.0,100.0,38.0,3.14e-13,75.8,"NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence"
Imipenem,Spacer_Cluster_269,Predictor Relevante (SHAP),,0.0,100.0,38.0,3.14e-13,75.8,"NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_298,Protector (Sensibilidad),0.3972301207411735,,100.0,33.0,3.03e-10,65.9,"NZ_JBSQHF010000002.1 Klebsiella pneumoniae strain L20 map unlocalized plasmid unnamed contig_3, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_306,Protector (Sensibilidad),0.4216311767613263,0.0003054496,100.0,38.0,3.14e-13,75.8,"NZ_JBPSJV010000002.1 Klebsiella variicola strain 5-4756 plasmid p_contig2, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_257,Protector (Sensibilidad),0.4280718031688012,0.0014322556,,,,,
Meropenem,Spacer_Cluster_60,Protector (Sensibilidad),0.497124960996995,,85.149,101.0,2.01e-14,81.8,"NZ_JBSJXU010000003.1 Enterococcus alishanensis strain JNUCC 77 plasmid unnamed2, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_333,Protector (Sensibilidad),0.5187643002882597,,96.97,33.0,7.38e-08,58.0,"NZ_JAMOLP010000004.1 Klebsiella pneumoniae strain Z0117KP0043 plasmid pZ0117KP0043-1, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_14,Protector (Sensibilidad),0.5287272742495864,0.00069489435,,,,,
Meropenem,Spacer_Cluster_2,Protector (Sensibilidad),0.5436268571147899,0.0,,,,,
Meropenem,Spacer_Cluster_1,Protector (Sensibilidad),0.560453265790157,0.0,,,,,
Meropenem,Spacer_Cluster_275,Protector (Sensibilidad),0.5700956901357894,,100.0,38.0,3.14e-13,75.8,"NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_269,Protector (Sensibilidad),0.5874504585272081,,100.0,38.0,3.14e-13,75.8,"NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_332,Protector (Sensibilidad),0.5902974410140607,,,,,,
Meropenem,Spacer_Cluster_265,Protector (Sensibilidad),0.6012442543316595,0.0,100.0,38.0,3.14e-13,75.8,"NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_421,Riesgo (Resistencia),1.1981524477238854,,100.0,36.0,4.44e-12,71.9,"NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_148,Riesgo (Resistencia),1.2453362742639769,0.0,87.302,63.0,1.06e-08,61.9,"NZ_JARYHW010000002.1 Staphylococcus aureus strain IT-MSSA51 plasmid unnamed, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_420,Riesgo (Resistencia),1.3440837199205589,,100.0,36.0,4.44e-12,71.9,"NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_282,Riesgo (Resistencia),1.3556657257329594,,100.0,38.0,3.14e-13,75.8,"NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_310,Riesgo (Resistencia),1.5111289890092852,,100.0,38.0,3.14e-13,75.8,"NZ_JBQTGO010000002.1 Klebsiella ornithinolytica strain LYG_6_1B plasmid pLYG_6_1B_290Kb, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_51,Riesgo (Resistencia),1.5792584851012283,,,,,,
Meropenem,Spacer_Cluster_220,Riesgo (Resistencia),2.137225337277969,0.0057534003,,,,,
Meropenem,Spacer_Cluster_229,Riesgo (Resistencia),2.267787505491795,0.0,100.0,43.0,3.88e-16,85.7,"NZ_JBRTYI010000002.1 Klebsiella pneumoniae strain KP1 plasmid pKP1-rmpA2, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_249,Riesgo (Resistencia),2.360185516163445,0.0070668575,100.0,40.0,2.2e-14,79.8,"NZ_JBRTYH010000002.1 Klebsiella pneumoniae strain KP6 plasmid pKP6-pls1, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_281,Riesgo (Resistencia),3.0190523547619703,0.0040013622,97.368,38.0,7.66e-11,67.9,"NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_0,Predictor Relevante (SHAP),,0.0,,,,,
Meropenem,Spacer_Cluster_110,Predictor Relevante (SHAP),,0.0,,,,,
Meropenem,Spacer_Cluster_213,Predictor Relevante (SHAP),,0.0,,,,,
Meropenem,Spacer_Cluster_221,Predictor Relevante (SHAP),,0.0,100.0,45.0,2.69e-17,89.7,"NZ_JBRYHH010000001.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p1, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_230,Predictor Relevante (SHAP),,0.0,100.0,43.0,3.88e-16,85.7,"NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_234,Predictor Relevante (SHAP),,0.0,100.0,43.0,3.88e-16,85.7,"NZ_JBRYHH010000001.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p1, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_245,Predictor Relevante (SHAP),,0.0,100.0,41.0,5.82e-15,81.8,"NZ_NTGK01000110.1 Klebsiella pneumoniae strain B04 map unlocalized plasmid pB04 P51, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_248,Predictor Relevante (SHAP),,0.0,100.0,40.0,2.2e-14,79.8,"NZ_NTGK01000110.1 Klebsiella pneumoniae strain B04 map unlocalized plasmid pB04 P51, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_266,Predictor Relevante (SHAP),,0.0,100.0,38.0,3.14e-13,75.8,"NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_267,Predictor Relevante (SHAP),,0.0,100.0,38.0,3.14e-13,75.8,"NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_268,Predictor Relevante (SHAP),,0.0,100.0,38.0,3.14e-13,75.8,"NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence"
Meropenem,Spacer_Cluster_29,Predictor Relevante (SHAP),,0.0031505465,85.417,96.0,9.58e-14,79.8,"NZ_JACGYC010000002.1 Staphylococcus aureus strain SA2028 map unlocalized plasmid unnamed NODE_2_length_578871_cov_33.101906, whole genome shotgun sequence"
Trimethoprim_sulfamethoxazole,Spacer_Cluster_0,Predictor Relevante (SHAP),,0.0,,,,,
Trimethoprim_sulfamethoxazole,Spacer_Cluster_1,Predictor Relevante (SHAP),,0.0,,,,,
Trimethoprim_sulfamethoxazole,Spacer_Cluster_110,Predictor Relevante (SHAP),,0.0,,,,,
Trimethoprim_sulfamethoxazole,Spacer_Cluster_14,Predictor Relevante (SHAP),,0.0,,,,,
Trimethoprim_sulfamethoxazole,Spacer_Cluster_148,Predictor Relevante (SHAP),,0.0,87.302,63.0,1.06e-08,61.9,"NZ_JARYHW010000002.1 Staphylococcus aureus strain IT-MSSA51 plasmid unnamed, whole genome shotgun sequence"
Trimethoprim_sulfamethoxazole,Spacer_Cluster_2,Predictor Relevante (SHAP),,0.0,,,,,
Trimethoprim_sulfamethoxazole,Spacer_Cluster_213,Predictor Relevante (SHAP),,0.0002633549,,,,,
Trimethoprim_sulfamethoxazole,Spacer_Cluster_220,Predictor Relevante (SHAP),,0.0,,,,,
Trimethoprim_sulfamethoxazole,Spacer_Cluster_221,Predictor Relevante (SHAP),,0.0,100.0,45.0,2.69e-17,89.7,"NZ_JBRYHH010000001.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p1, whole genome shotgun sequence"
Trimethoprim_sulfamethoxazole,Spacer_Cluster_229,Predictor Relevante (SHAP),,0.0,100.0,43.0,3.88e-16,85.7,"NZ_JBRTYI010000002.1 Klebsiella pneumoniae strain KP1 plasmid pKP1-rmpA2, whole genome shotgun sequence"
Trimethoprim_sulfamethoxazole,Spacer_Cluster_230,Predictor Relevante (SHAP),,0.0,100.0,43.0,3.88e-16,85.7,"NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence"
Trimethoprim_sulfamethoxazole,Spacer_Cluster_234,Predictor Relevante (SHAP),,0.0,100.0,43.0,3.88e-16,85.7,"NZ_JBRYHH010000001.1 Klebsiella pneumoniae strain KP4 plasmid pKP4_p1, whole genome shotgun sequence"
Trimethoprim_sulfamethoxazole,Spacer_Cluster_245,Predictor Relevante (SHAP),,7.199872e-05,100.0,41.0,5.82e-15,81.8,"NZ_NTGK01000110.1 Klebsiella pneumoniae strain B04 map unlocalized plasmid pB04 P51, whole genome shotgun sequence"
Trimethoprim_sulfamethoxazole,Spacer_Cluster_248,Predictor Relevante (SHAP),,0.0,100.0,40.0,2.2e-14,79.8,"NZ_NTGK01000110.1 Klebsiella pneumoniae strain B04 map unlocalized plasmid pB04 P51, whole genome shotgun sequence"
Trimethoprim_sulfamethoxazole,Spacer_Cluster_249,Predictor Relevante (SHAP),,0.0062580644,100.0,40.0,2.2e-14,79.8,"NZ_JBRTYH010000002.1 Klebsiella pneumoniae strain KP6 plasmid pKP6-pls1, whole genome shotgun sequence"
Trimethoprim_sulfamethoxazole,Spacer_Cluster_254,Predictor Relevante (SHAP),,0.0,100.0,39.0,8.33e-14,77.8,"NZ_JBRTYH010000002.1 Klebsiella pneumoniae strain KP6 plasmid pKP6-pls1, whole genome shotgun sequence"
Trimethoprim_sulfamethoxazole,Spacer_Cluster_257,Predictor Relevante (SHAP),,0.0,,,,,
Trimethoprim_sulfamethoxazole,Spacer_Cluster_265,Predictor Relevante (SHAP),,0.0,100.0,38.0,3.14e-13,75.8,"NZ_JBRYYQ010000003.1 Klebsiella pneumoniae strain MBI-24-2 plasmid pMBI24-2-1, whole genome shotgun sequence"
Trimethoprim_sulfamethoxazole,Spacer_Cluster_266,Predictor Relevante (SHAP),,0.0,100.0,38.0,3.14e-13,75.8,"NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence"
Trimethoprim_sulfamethoxazole,Spacer_Cluster_267,Predictor Relevante (SHAP),,0.0,100.0,38.0,3.14e-13,75.8,"NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence"
Trimethoprim_sulfamethoxazole,Spacer_Cluster_268,Predictor Relevante (SHAP),,0.0,100.0,38.0,3.14e-13,75.8,"NZ_JBSKBN010000002.1 Klebsiella pneumoniae strain RC_863 plasmid unnamed1, whole genome shotgun sequence"
Trimethoprim_sulfamethoxazole,Spacer_Cluster_29,Predictor Relevante (SHAP),,0.0092861205,85.417,96.0,9.58e-14,79.8,"NZ_JACGYC010000002.1 Staphylococcus aureus strain SA2028 map unlocalized plasmid unnamed NODE_2_length_578871_cov_33.101906, whole genome shotgun sequence"
Trimethoprim_sulfamethoxazole,Spacer_Cluster_336,Predictor Relevante (SHAP),,0.00057212915,100.0,37.0,1.18e-12,73.8,"NZ_NTGK01000110.1 Klebsiella pneumoniae strain B04 map unlocalized plasmid pB04 P51, whole genome shotgun sequence"
